#{"t_start": 1738536966.1229355, "env_id": "CartPole-v1"}
r,l,t
49.0,49,1.384416
34.0,34,1.495909
25.0,25,1.580354
33.0,33,1.675217
33.0,33,1.76911
51.0,51,1.951261
23.0,23,1.976611
31.0,31,2.076539
32.0,32,2.167981
27.0,27,2.254664
24.0,24,2.34164
27.0,27,2.432695
100.0,100,2.721488
46.0,46,2.840898
201.0,201,3.427928
131.0,131,3.887753
481.0,481,5.780262
138.0,138,6.1906
369.0,369,7.249433
500.0,500,8.902598
500.0,500,11.865172
500.0,500,13.420039
500.0,500,16.360814
500.0,500,17.971925
500.0,500,19.72386
500.0,500,22.639179
500.0,500,24.25723
500.0,500,27.084963
500.0,500,28.582685
500.0,500,30.103528
500.0,500,32.790021
500.0,500,34.409227
500.0,500,37.14689
500.0,500,38.659129
500.0,500,40.214772
500.0,500,42.91711
500.0,500,44.446725
500.0,500,47.181877
500.0,500,48.70685
500.0,500,50.320142
