#{"t_start": 1738536910.0195599, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,3.119262
-200.0,200,3.708195
-171.0,171,4.240518
-153.0,153,4.96837
-154.0,154,5.416921
-153.0,153,5.87709
-133.0,133,6.305632
-126.0,126,6.956809
-171.0,171,7.517085
-90.0,90,7.772359
-158.0,158,8.246368
-146.0,146,8.630418
-155.0,155,9.345771
-155.0,155,9.799465
-149.0,149,10.227397
-153.0,153,10.724086
-93.0,93,11.214886
-158.0,158,11.700212
-101.0,101,12.021174
-97.0,97,12.305736
-161.0,161,12.758856
-91.0,91,13.265483
-155.0,155,13.733868
-88.0,88,14.010604
-165.0,165,14.581993
-151.0,151,15.071859
-150.0,150,15.731227
-154.0,154,16.14778
-105.0,105,16.459958
-93.0,93,16.721978
-177.0,177,17.413559
-88.0,88,17.633787
-158.0,158,18.099152
-100.0,100,18.363601
-93.0,93,18.63694
-154.0,154,19.091635
-90.0,90,19.62384
-153.0,153,20.08089
-158.0,158,20.664922
-88.0,88,20.926003
-158.0,158,21.637707
-88.0,88,21.8968
-158.0,158,22.397927
-156.0,156,22.842329
-157.0,157,23.337352
-86.0,86,23.855883
-86.0,86,24.110412
-99.0,99,24.436991
-158.0,158,24.97118
-114.0,114,25.389562
-89.0,89,25.694305
-165.0,165,26.396272
-148.0,148,26.841792
-85.0,85,27.108749
-164.0,164,27.566459
-164.0,164,28.224071
-153.0,153,28.68862
-94.0,94,29.035561
-94.0,94,29.33678
-100.0,100,29.66161
-149.0,149,30.328713
-86.0,86,30.585864
-152.0,152,31.07416
-97.0,97,31.376625
-146.0,146,31.824225
-166.0,166,32.64488
-88.0,88,32.972282
-154.0,154,33.46259
-148.0,148,33.898381
-160.0,160,34.451628
-86.0,86,35.025255
-90.0,90,35.3465
-156.0,156,35.893191
-147.0,147,36.386137
-159.0,159,36.845831
-154.0,154,37.573647
-150.0,150,38.031714
-146.0,146,38.483208
-146.0,146,38.893996
-110.0,110,39.490469
-144.0,144,39.949048
-145.0,145,40.461589
-147.0,147,40.972759
-150.0,150,41.703938
-149.0,149,42.186239
-139.0,139,42.586322
-113.0,113,42.94194
-152.0,152,43.421512
-109.0,109,44.0107
-150.0,150,44.483494
-162.0,162,45.009341
-84.0,84,45.305964
-112.0,112,45.654436
-146.0,146,46.375956
-110.0,110,46.728739
-117.0,117,47.072383
-143.0,143,47.503208
-110.0,110,47.836793
-148.0,148,48.60049
-146.0,146,49.089547
-146.0,146,49.639973
-144.0,144,50.108613
-164.0,164,50.913957
-149.0,149,51.488795
-141.0,141,51.950965
-112.0,112,52.3286
-145.0,145,52.791351
-163.0,163,53.587013
-149.0,149,54.039793
-109.0,109,54.413434
-112.0,112,54.762699
-160.0,160,55.523481
