,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_vf_coef,state
0,0,-156.0,2025-02-02 15:30:29.919713,2025-02-02 15:31:55.113025,0 days 00:01:25.193312,tanh,16,0.3,0.014790459396774758,1.0,0.995,4.2750383436937504e-05,2.0,10,32,tiny,0.8796238416922156,COMPLETE
1,1,-124.0,2025-02-02 15:30:29.920341,2025-02-02 15:30:43.197948,0 days 00:00:13.277607,relu,512,0.4,3.200112587042798e-07,0.95,0.9999,0.00858841508321383,1.0,20,2048,tiny,0.9202171326723276,COMPLETE
2,2,-200.0,2025-02-02 15:30:43.198658,2025-02-02 15:30:56.976957,0 days 00:00:13.778299,relu,16,0.3,1.7370982833068386e-08,0.8,0.99,0.0012274967337704207,0.8,1,16,medium,0.4029632279891384,COMPLETE
3,3,-115.8,2025-02-02 15:30:56.977674,2025-02-02 15:31:37.540704,0 days 00:00:40.563030,tanh,64,0.1,0.09214109401613056,0.9,0.999,0.0040891795035669105,0.6,20,64,tiny,0.7718099717693166,COMPLETE
4,4,-180.6,2025-02-02 15:31:37.541592,2025-02-02 15:31:46.323613,0 days 00:00:08.782021,tanh,256,0.3,4.541393499834186e-08,0.95,0.95,2.2213937986724478e-05,0.8,5,1024,small,0.432403980903016,COMPLETE
5,5,-200.0,2025-02-02 15:31:46.324208,2025-02-02 15:32:40.739478,0 days 00:00:54.415270,tanh,16,0.1,0.003245490203172376,1.0,0.9,0.00026146636240326004,0.5,5,512,small,0.4030061906482105,COMPLETE
6,6,-200.0,2025-02-02 15:31:55.113741,2025-02-02 15:32:03.026842,0 days 00:00:07.913101,tanh,128,0.1,2.8276233113320623e-08,1.0,0.98,0.02914210865020987,1.0,1,32,tiny,0.7253489428461184,COMPLETE
7,7,-200.0,2025-02-02 15:32:03.027514,2025-02-02 15:32:45.354282,0 days 00:00:42.326768,relu,64,0.4,1.0736864268142239e-07,0.95,0.98,3.1980428206332496e-05,5.0,20,256,tiny,0.1453891809056621,COMPLETE
8,8,-200.0,2025-02-02 15:32:40.740222,2025-02-02 15:35:31.012986,0 days 00:02:50.272764,tanh,8,0.1,0.0009253670525436797,0.95,0.9,0.014625912712711067,0.9,10,256,tiny,0.20804084787812438,COMPLETE
9,9,-200.0,2025-02-02 15:32:45.355043,2025-02-02 15:32:55.551250,0 days 00:00:10.196207,tanh,128,0.1,8.01487544119995e-05,0.95,0.999,0.03572021437149351,0.7,5,512,small,0.26189480350393535,COMPLETE
10,10,-200.0,2025-02-02 15:32:55.551917,2025-02-02 15:35:35.336057,0 days 00:02:39.784140,relu,128,0.3,0.001124402734328815,0.92,0.99,0.011461580193378692,2.0,20,16,small,0.7036253087177081,COMPLETE
11,11,-104.2,2025-02-02 15:35:31.013913,2025-02-02 15:35:45.608829,0 days 00:00:14.594916,relu,16,0.2,3.5797062373970776e-08,0.8,0.99,0.006960048474522834,0.9,1,32,medium,0.4873662205806325,COMPLETE
12,12,-200.0,2025-02-02 15:35:35.336944,2025-02-02 15:35:55.171249,0 days 00:00:19.834305,tanh,256,0.3,4.784970101181066e-06,1.0,0.98,0.1276455580280161,1.0,20,2048,tiny,0.7655884661121326,COMPLETE
13,13,-169.2,2025-02-02 15:35:45.609899,2025-02-02 15:36:31.593394,0 days 00:00:45.983495,tanh,16,0.2,0.05215232979820124,0.92,0.999,1.7153247968997705e-05,0.5,5,16,tiny,0.13632102002822022,COMPLETE
14,14,-200.0,2025-02-02 15:35:55.171967,2025-02-02 15:36:18.179239,0 days 00:00:23.007272,relu,64,0.1,7.574078040572194e-06,0.98,0.999,0.6663958587318969,0.5,10,64,tiny,0.9734708440416748,COMPLETE
15,15,-200.0,2025-02-02 15:36:18.179912,2025-02-02 15:36:24.792624,0 days 00:00:06.612712,relu,256,0.3,0.008050631687391325,1.0,0.9,0.0002916921196834025,2.0,1,64,small,0.296790629410291,COMPLETE
16,16,-200.0,2025-02-02 15:36:24.793383,2025-02-02 15:38:52.319976,0 days 00:02:27.526593,relu,8,0.2,4.6034731210874785e-06,0.9,0.98,0.000749352392655804,0.5,10,128,tiny,0.20459662638352738,COMPLETE
17,17,-200.0,2025-02-02 15:36:31.594151,2025-02-02 15:42:19.157914,0 days 00:05:47.563763,relu,8,0.4,3.1204421785022187e-06,0.99,0.98,0.006405604809959134,5.0,20,128,medium,0.841599296727601,COMPLETE
18,18,-200.0,2025-02-02 15:38:52.320776,2025-02-02 15:38:58.934477,0 days 00:00:06.613701,relu,128,0.1,6.891548639923512e-08,0.99,0.9,0.020337038788612375,5.0,1,2048,tiny,0.16377803070832064,COMPLETE
19,19,-126.6,2025-02-02 15:38:58.935191,2025-02-02 15:39:19.846948,0 days 00:00:20.911757,tanh,8,0.1,3.0662631071662015e-07,0.8,0.9999,0.00034093618150581425,2.0,1,8,small,0.7566937842002895,COMPLETE
20,20,-200.0,2025-02-02 15:39:19.847600,2025-02-02 15:40:39.367351,0 days 00:01:19.519751,relu,16,0.2,3.528608747747941e-08,0.9,0.95,5.3019160823773266e-05,0.5,10,256,tiny,0.7445824967523803,COMPLETE
21,21,-200.0,2025-02-02 15:40:39.368447,2025-02-02 15:41:56.447343,0 days 00:01:17.078896,relu,64,0.3,4.969757423583653e-05,0.99,0.99,5.2607694579200856e-05,0.7,5,8,tiny,0.3635959159487363,COMPLETE
22,22,-200.0,2025-02-02 15:41:56.448134,2025-02-02 15:43:23.729213,0 days 00:01:27.281079,relu,256,0.1,9.699675298833e-07,0.8,0.999,0.21162180010316983,0.6,20,32,tiny,0.39494662793059065,COMPLETE
23,23,-200.0,2025-02-02 15:42:19.158567,2025-02-02 15:42:26.653755,0 days 00:00:07.495188,relu,512,0.3,3.0643327785065174e-07,0.8,0.99,0.0017428045025237322,2.0,5,2048,tiny,0.6317483419421113,COMPLETE
24,24,-200.0,2025-02-02 15:42:26.654401,2025-02-02 15:42:47.422620,0 days 00:00:20.768219,tanh,256,0.3,0.0012878252806799546,0.8,0.9,0.007696933350884539,0.7,20,2048,medium,0.47863536995685896,COMPLETE
25,25,-200.0,2025-02-02 15:42:47.423445,2025-02-02 15:42:56.353014,0 days 00:00:08.929569,tanh,64,0.1,2.7212668274391857e-08,0.98,0.9999,2.2537487577832595e-05,2.0,1,1024,medium,0.883731432062984,COMPLETE
26,26,-200.0,2025-02-02 15:42:56.353685,2025-02-02 15:43:43.152163,0 days 00:00:46.798478,relu,16,0.4,6.43973095333643e-06,0.98,0.95,0.0004684857420712305,0.9,5,32,tiny,0.7031120104520782,COMPLETE
27,27,-200.0,2025-02-02 15:43:23.729949,2025-02-02 15:43:32.283445,0 days 00:00:08.553496,relu,64,0.2,4.9284049738939174e-08,0.98,0.98,0.1364596544117811,0.5,1,1024,small,0.7985992581309225,COMPLETE
28,28,-200.0,2025-02-02 15:43:32.284182,2025-02-02 15:44:30.696472,0 days 00:00:58.412290,tanh,64,0.1,0.002593078535480844,0.99,0.98,0.00013451502561842257,0.5,20,2048,medium,0.8302933412168263,COMPLETE
29,29,-113.6,2025-02-02 15:43:43.152920,2025-02-02 15:44:27.417616,0 days 00:00:44.264696,relu,128,0.2,3.7887395967406484e-08,1.0,0.9999,0.0002886952535425563,2.0,20,64,small,0.5543350976683251,COMPLETE
